case,policy,dvfs,migration,energy_kwh
1,random,False,disable,287.3994316436264
2,random,False,default,91.17092272010534
3,random,True,disable,222.7249586647237
4,random,True,default,69.2682166298438
5,first_fit,False,disable,181.1163659653143
6,first_fit,False,default,72.36801426449198
7,first_fit,True,disable,134.9075257733544
8,first_fit,True,default,57.580742904156324
9,least_utilized,False,disable,306.41742951127503
10,least_utilized,False,default,85.49442343257184
11,least_utilized,True,disable,233.1782904429289
12,least_utilized,True,default,70.39372388685561
13,most_utilized,False,disable,178.9986814819275
14,most_utilized,False,default,65.32478618421032
15,most_utilized,True,disable,130.6017259967781
16,most_utilized,True,default,55.07629616265998
17,best_fit,False,disable,196.63620515502365
18,best_fit,False,default,80.38163493410964
19,best_fit,True,disable,152.43029454897678
20,best_fit,True,default,66.82201881307812
21,worst_fit,False,disable,303.753189475693
22,worst_fit,False,default,83.193219869228
23,worst_fit,True,disable,227.86290058984883
24,worst_fit,True,default,68.25238833117027
25,energy_aware,False,disable,149.2402879679022
26,energy_aware,False,default,65.24631902336496
27,energy_aware,True,disable,119.87708953162553
28,energy_aware,True,default,49.136602771208985
